Country,Amp_SAC,Pond_num
Denmark,9,44
Denmark,9,45
Denmark,9,46
Denmark,9,47
Denmark,9,48
Denmark,9,49
Denmark,9,50
Denmark,9,51
Denmark,9,52
Denmark,9,53
Denmark,9,54
Denmark,9,55
Denmark,9,56
Denmark,9,57
Denmark,9,58
Denmark,9,59
Denmark,9,60
Denmark,9,61
Denmark,10,62
Denmark,10,63
Denmark,10,64
Denmark,10,65
Denmark,10,66
Denmark,10,67
Denmark,10,68
Denmark,10,69
Denmark,10,70
Denmark,10,71
Denmark,10,72
Denmark,10,73
Denmark,10,74
Denmark,10,75
Denmark,10,76
Denmark,10,77
Denmark,10,78
Denmark,10,79
Denmark,10,80
Denmark,10,81
Denmark,10,82
Denmark,10,83
Denmark,10,84
Denmark,10,85
Denmark,10,86
Denmark,10,87
Denmark,10,88
Denmark,10,89
Denmark,10,90
Denmark,10,91
Denmark,10,92
Denmark,11,93
Denmark,11,94
Denmark,11,95
Denmark,11,96
Denmark,11,97
Denmark,11,98
Denmark,11,99
Denmark,11,100
Spain,6,1
Spain,7,2
Spain,7,3
Spain,8,4
Spain,8,5
Spain,9,6
Spain,9,7
Spain,9,8
Spain,9,9
Spain,10,10
Spain,10,11
Spain,10,12
Spain,10,13
Spain,10,14
Spain,10,15
Spain,11,16
Spain,11,17
Spain,11,18
Spain,11,19
Spain,11,20
Spain,11,21
Spain,11,22
Spain,11,23
Spain,11,24
Spain,12,25
Spain,12,26
Spain,12,27
Spain,12,28
Spain,12,29
Spain,12,30
Spain,12,31
Spain,12,32
Spain,12,33
Spain,12,34
Spain,12,35
Spain,12,36
Spain,12,37
Spain,13,38
Spain,13,39
Spain,13,40
Spain,13,41
Spain,13,42
Spain,13,43
Spain,13,44
Spain,13,45
Spain,13,46
Spain,13,47
Spain,13,48
Spain,13,49
Spain,13,50
Spain,13,51
Spain,13,52
Spain,13,53
Spain,13,54
Spain,14,55
Spain,14,56
Spain,14,57
Spain,14,58
Spain,14,59
Spain,14,60
Spain,14,61
Spain,14,62
Spain,14,63
Spain,14,64
Spain,14,65
Spain,14,66
Spain,14,67
Spain,14,68
Spain,14,69
Spain,14,70
Spain,14,71
Spain,14,72
Spain,14,73
Spain,14,74
Spain,14,75
Spain,14,76
Spain,15,77
Spain,15,78
Spain,15,79
Spain,15,80
Spain,15,81
Spain,15,82
Spain,15,83
Spain,15,84
Spain,15,85
Spain,15,86
Spain,15,87
Spain,15,88
Spain,15,89
Spain,15,90
Spain,15,91
Spain,15,92
Spain,15,93
Spain,15,94
Spain,15,95
Spain,15,96
Spain,15,97
Spain,15,98
Spain,15,99
Spain,15,100
Turkey,5,1
Turkey,5,2
Turkey,6,3
Turkey,6,4
Turkey,6,5
Turkey,7,6
Turkey,7,7
Turkey,7,8
Turkey,7,9
Turkey,7,10
Turkey,8,11
Turkey,8,12
Turkey,8,13
Turkey,8,14
Turkey,8,15
Turkey,8,16
Turkey,8,17
Turkey,8,18
Turkey,8,19
Turkey,8,20
Turkey,9,21
Turkey,9,22
Turkey,9,23
Turkey,9,24
Turkey,9,25
Turkey,9,26
Turkey,9,27
Turkey,9,28
Turkey,9,29
Turkey,9,30
Turkey,9,31
Turkey,9,32
Turkey,9,33
Turkey,9,34
Turkey,9,35
Turkey,10,36
Turkey,10,37
Turkey,10,38
Turkey,10,39
Turkey,10,40
Turkey,10,41
Turkey,10,42
Turkey,10,43
Turkey,10,44
Turkey,10,45
Turkey,10,46
Turkey,10,47
Turkey,10,48
Turkey,10,49
Turkey,10,50
Turkey,10,51
Turkey,10,52
Turkey,10,53
Turkey,10,54
Turkey,10,55
Turkey,10,56
Turkey,10,57
Turkey,11,58
Turkey,11,59
Turkey,11,60
Turkey,11,61
Turkey,11,62
Turkey,11,63
Turkey,11,64
Turkey,11,65
Turkey,11,66
Turkey,11,67
Turkey,11,68
Turkey,11,69
Turkey,11,70
Turkey,11,71
Turkey,11,72
Turkey,11,73
Turkey,11,74
Turkey,11,75
Turkey,11,76
Turkey,11,77
Turkey,11,78
Turkey,11,79
Turkey,11,80
Turkey,11,81
Turkey,11,82
Turkey,11,83
Turkey,11,84
Turkey,11,85
Turkey,11,86
Turkey,11,87
Turkey,11,88
Turkey,11,89
Turkey,11,90
Turkey,11,91
Turkey,12,92
Turkey,12,93
Turkey,12,94
Turkey,12,95
Turkey,12,96
Turkey,12,97
Turkey,12,98
Turkey,12,99
Turkey,12,100
